origin_year,n,beta_spearman_all,beta_spearman_up_metros,beta_spearman_down_metros,share_zips_in_up_metros,nyc_metro_growth,beta_spearman_nyc
2006,11262,0.0264642712756865,0.0584860756624954,-0.008918963781647,0.5372047593677854,-0.0161463604162173,-0.0675520182648479
2007,11539,-0.1549445830613104,0.0340092732093293,-0.2222953528048249,0.2224629517289193,-0.0491856502853267,0.0452324130680762
2008,12060,-0.2607288998617532,0.0663091548179368,-0.2712551559184631,0.0232172470978441,-0.0869351217219452,-0.0137337561046686
2009,12442,-0.13771919672677,-0.0422869774985176,-0.1661406929491989,0.2113004340138241,-0.0289810710150964,-0.0859154547021465
2010,12792,-0.2078381697672008,0.1100926765321628,-0.2156232266624807,0.0206378986866791,-0.0455756568804553,-0.292438905082826
2011,13086,-0.1347348388488364,-0.0135012991824443,-0.2132724331053146,0.3888888888888889,-0.0222120468711795,-0.3195487315718003
2012,13317,0.095698322774497,0.1143852243777707,-0.1697205330217343,0.9254336562288804,0.0218750606716443,-0.2739212211358993
2013,13597,0.2539146097430647,0.265483868777533,-0.1754807993310617,0.9733764801059056,0.0682610181965675,-0.0500819074875472
2014,13971,0.2348696397819771,0.2474662844781715,-0.0485767144918741,0.9538329396607258,0.0318455947503508,0.2844544802787617
2015,15335,0.2881910230984205,0.2939890540054548,-0.085914310026633,0.9818063253994131,0.0528923847442692,0.3804635021417544
2016,15653,0.2823320959958769,0.3055328380895997,-0.2005142906226535,0.9605187503992844,0.04420177132297,0.3352459128692206
2017,15840,0.3555181951543699,0.3594106212708157,-0.2010970712116759,0.9948232323232324,0.0450970003667931,0.4720071437611621
2018,16597,0.2739471310063393,0.2771747432630882,0.131808330922617,0.9775863107790564,0.0362794248692959,0.412095446381697
2019,16957,0.241146038722003,0.2448368753038002,-0.2125296036462755,0.9918027953057734,0.0239251245453065,0.4437749213732613
2020,17136,0.1474543192737959,0.1474543192737959,,1.0,0.115538323880522,0.2305162781191637
2021,17350,0.150929734020453,0.1521352625368818,-0.5968379446640317,0.9987319884726223,0.0909530614072222,0.6157340812342149
2022,17940,-0.0583407358823447,0.0341037493744107,-0.21627328435467,0.6256967670011149,0.0052927686555966,0.4070791316293799
2023,18108,0.1072832814823754,0.1334955225517844,-0.2045639421612695,0.9315219792356968,0.0627198517194815,0.1986142983230362
2024,18354,-0.0944176011792984,-0.0486747570578727,-0.1808827598282028,0.6469434455704478,0.0386111590080022,-0.1936109847564359
2025,18683,-0.0537157697687509,0.0101946848229131,-0.3237470069790625,0.7949472782743671,0.0449701349324167,0.1749219777310321
