model,spearman_national,spearman_nyc,q5_q1_spread_national,q5_q1_spread_nyc,n_test,n_test_nyc,horizon,test_year,n_train
gbm_national,-0.07946456986107094,0.0932058983594009,-0.03746906901859739,0.07344849905449974,15165,797,10,2010,11227
gbm_recency,-0.07946456986107094,0.0932058983594009,-0.03746906901859739,0.07344849905449974,15165,797,10,2010,11227
ridge_national,-0.2631688956362419,0.01695155620746728,-0.08941832331769266,0.04559892837220311,15165,797,10,2010,11227
gbm_nyc_only,0.37018665697682945,0.273781577165252,0.1351897364792598,0.14034955924713685,15165,797,10,2010,11227
momentum_5y,-0.24030227664466491,0.17549881633208653,-0.10442726572045984,0.12454743342672063,15165,797,10,2010,11227
catch_up_price,0.4516093978623829,0.14443963954260602,0.17723525061551737,0.06919329836880628,15165,797,10,2010,11227
catch_up_neighbors,0.41440730370836243,0.2912840160463074,0.16392757818209278,0.16474306203246875,15165,797,10,2010,11227
gbm_national,-0.31743329189236047,-0.14922963335758693,-0.15102835739706275,-0.07378911679905814,15294,800,10,2011,22772
gbm_recency,-0.3158966530617016,-0.14445363671146538,-0.1488935708275595,-0.07077484438466822,15294,800,10,2011,22772
ridge_national,-0.461686962639728,-0.3156557353995866,-0.1990384328490864,-0.14363417682548696,15294,800,10,2011,22772
gbm_nyc_only,0.16223146276243805,0.3191884735121211,0.08465706849423994,0.17089556459126332,15294,800,10,2011,22772
momentum_5y,-0.3954786964091777,-0.158677612144678,-0.19249858997812747,-0.06448113356672458,15294,800,10,2011,22772
catch_up_price,0.5891398802821761,0.43990486703885473,0.2549766298693572,0.19768667484431995,15294,800,10,2011,22772
catch_up_neighbors,0.49783346188194816,0.4223074254803523,0.21645176940485078,0.20972059293404977,15294,800,10,2011,22772
gbm_national,-0.3316455251327738,-0.25733807270014825,-0.15950232606700668,-0.11855470996478853,16182,806,10,2012,34734
gbm_recency,-0.3262388605290777,-0.25008651832950446,-0.1590412241636462,-0.12003181069278021,16182,806,10,2012,34734
ridge_national,-0.45676852863393774,-0.44975561673007414,-0.19761567112653122,-0.18579744368521622,16182,806,10,2012,34734
gbm_nyc_only,0.06914805851284372,0.10658473494890947,0.022188692649142895,0.02246363675919709,16182,806,10,2012,34734
momentum_5y,-0.4499602287782063,-0.4003875360787085,-0.2198962704974225,-0.1898758115241151,16182,806,10,2012,34734
catch_up_price,0.5639963929315152,0.5222952701766239,0.2516478206933774,0.24238263411018518,16182,806,10,2012,34734
catch_up_neighbors,0.4713293156842466,0.4188053108119637,0.20835561817107928,0.18797995502615905,16182,806,10,2012,34734
