model,spearman_national,spearman_nyc,spearman_nyc_within_county,q5_q1_spread_national,q5_q1_spread_nyc,n_test,n_test_nyc,horizon,test_year,n_train
gbm_national,0.0556454031708284,-0.2249453273859794,-0.0696246275490589,0.0175264910537423,-0.0473201490859601,15165,797,5,2010,72428
gbm_recency,0.0655706680281001,-0.1277298085601638,-0.0097400104251171,0.0175703118635074,-0.0170587245129929,15165,797,5,2010,72428
ridge_national,-0.0100131891603865,-0.5156793343989976,-0.3391125873811277,-0.0079949446283107,-0.2310686899567829,15165,797,5,2010,72428
gbm_county_target,0.0736270878219261,-0.2377406224336843,-0.0870478336316437,0.0217086295078448,-0.0782153648448296,15165,797,5,2010,72428
gbm_nyc_only,0.0018245749419103,0.091417870924003,-0.2337435413394973,-7.033622246142542e-05,0.0463936677335109,15165,797,5,2010,72428
momentum_1y,-0.0376880797851327,-0.0673118201028579,0.1479007005847671,-0.0052940447438068,-0.0442587240788969,15165,797,5,2010,72428
momentum_5y,-0.0538622400297108,0.3894696597371771,0.2241921208645628,-0.0106943488928763,0.1914065591236974,15165,797,5,2010,72428
catch_up_price,-0.0268114600364312,-0.4528523932100954,-0.3533825938337334,-0.0133997776900149,-0.2051169800896522,15165,797,5,2010,72428
catch_up_neighbors,0.0549453077250907,-0.1144063114223962,-0.1582512113745804,0.0117308929460151,-0.0349323003964044,15165,797,5,2010,72428
beta_x_metro_trend,-0.0237056099039782,0.2525029807816057,0.355486107365888,-0.0002171940591756,0.077540145366883,15165,797,5,2010,72428
gbm_national,0.0158545444165643,0.0172198159684624,0.1274171169033174,0.0018970356183454,0.0128654833367782,15293,800,5,2011,85466
gbm_recency,0.0072244428464984,0.0501144923663943,0.0717628145430114,0.0002780446065798,0.0321342715882885,15293,800,5,2011,85466
ridge_national,0.0778491171865687,-0.3638098418903779,-0.1574081539958771,0.0225289318257113,-0.1727590050799277,15293,800,5,2011,85466
gbm_county_target,-0.0206311146976991,-0.0910687516699244,0.1385965093344555,-0.0091389535749057,-0.0448959679699782,15293,800,5,2011,85466
gbm_nyc_only,0.1510284169190634,0.3703068581179825,0.0281968353712065,0.0540630332117426,0.1642543397611209,15293,800,5,2011,85466
momentum_1y,-0.0456311309675013,0.4540904113021785,0.1594198565215886,-0.0185687243597821,0.1919451687003778,15293,800,5,2011,85466
momentum_5y,-0.1798008617299842,0.3873529073223104,0.1776384309161441,-0.0592861513942798,0.1759825399200187,15293,800,5,2011,85466
catch_up_price,0.1985802087474091,-0.2732604660319782,-0.0940687490145248,0.0612538015781402,-0.1155130835363039,15293,800,5,2011,85466
catch_up_neighbors,0.2363972534068231,0.0275489961703065,0.0366037730265391,0.0705008269142461,0.0242351481562469,15293,800,5,2011,85466
beta_x_metro_trend,-0.0572506445911751,0.2033992794971046,0.1773404042503839,-0.0196147280450797,0.0694005505940333,15293,800,5,2011,85466
gbm_national,0.0013175314556023,0.1707007758374568,0.1353716225806203,-0.0068334839557637,0.0849406681135834,16184,806,5,2012,98704
gbm_recency,-0.0065191764186641,0.1036530553394738,0.0785329340761313,-0.0111623978290014,0.033569900248759,16184,806,5,2012,98704
ridge_national,0.0553145510662963,-0.4135297238202915,-0.1138355959374349,0.0139579069123318,-0.1577435776684768,16184,806,5,2012,98704
gbm_county_target,-0.0472433851006976,0.1021773192318091,0.1054876722908515,-0.0214970697377342,0.0326004338733869,16184,806,5,2012,98704
gbm_nyc_only,0.2200742979613579,0.5280663444127941,0.2381888884546792,0.076344044989035,0.1961736575425499,16184,806,5,2012,98704
momentum_1y,0.009590568252898,0.3726031837549746,0.1115372961352455,0.0042983151873857,0.146151788747418,16184,806,5,2012,98704
