origin_year,n,log_price_rel_metro,log_price_rel_metro_nyc,nbr_log_price_gap,nbr_log_price_gap_nyc,price_to_income,price_to_income_nyc,rent_yield,rent_yield_nyc,log_income,log_income_nyc,bachelors_share,bachelors_share_nyc,mom_1y,mom_1y_nyc,mom_5y,mom_5y_nyc,unemployment_rate,unemployment_rate_nyc
2000,11227,0.07530799029830536,-0.23053932952837175,0.021710516122076886,-0.23318547618793442,,,,,,,,,,,,,,
2001,11545,0.17707108890077172,-0.03772435745166041,0.097248733229994,-0.1332146227656703,,,,,,,,,0.05294881615019154,0.32805222004077994,,,,
2002,11962,0.22313195456373197,0.15642568175939348,0.12223883038829501,-0.026335437120802316,,,,,,,,,-0.019791763068600168,0.04276957369740875,,,,
2003,12261,0.23560683544785366,0.28463936521331556,0.11801459748378942,0.08980484446999606,,,,,,,,,-0.022130907154402184,-0.1442764228791552,,,,
2004,12574,0.21084781573139638,0.3532103722315285,0.08970278083443131,0.1312154151276221,,,,,,,,,-0.05239458697416001,-0.36692751233758714,,,,
2005,12886,0.18135550330559397,0.4163829937608333,0.05347348784650532,0.1418809186453947,,,,,,,,,-0.07320556681239193,0.21100133700461718,-0.06804291219031258,-0.2054442071061103,,
2006,13047,0.11953132036339885,0.43149512345415625,-0.009803590562919278,0.0944326060272896,,,,,,,,,-0.08773322848299386,0.14940960390232436,-0.11158756919239017,-0.1834860743207933,,
2007,13259,0.06695909279058727,0.4476420092083209,-0.05629144384062042,0.06721716756911547,,,,,,,,,-0.012634473671098961,-0.045734969730586834,-0.08917343121120902,-0.0908900155683488,,
2008,13574,-0.08575665908750461,0.35323163455203516,-0.18005849035884974,-0.001506663504366225,,,,,,,,,0.0963560179566137,0.43887858996719326,0.004985450270760566,0.19853927224112583,,
2009,14915,-0.3093017003091675,0.09452273083892034,-0.3265605389396471,-0.1771287487840471,,,,,,,,,-0.1528751457364977,-0.12362235475939594,-0.09740140567623781,0.4320758500716987,,
2010,15165,-0.4261766231420957,-0.14443963954260602,-0.40130666080365673,-0.2912840160463074,,,,,,,,,-0.14293102022312726,-0.2625439881398422,-0.19561661816225273,0.17549881633208653,,
2011,15294,-0.5574195461244946,-0.43990486703885473,-0.4759628099814312,-0.4223074254803523,,,,,,,,,-0.20636574146757738,-0.04539532408886444,-0.3282723486710137,-0.158677612144678,,
2012,16182,-0.5277163830386309,-0.5222952701766239,-0.44653166230525093,-0.4188053108119637,,,,,,,,,-0.06832861161410876,-0.18564746194915932,-0.3797088301748356,-0.4003875360787085,,
2013,16530,-0.5732106998192324,-0.6195224849862164,-0.4712853084486656,-0.4117428047778102,-0.4126171221221997,-0.2808800733279487,,,-0.3893691449547039,-0.4780336112364732,-0.44532589847238035,-0.5954773678022901,0.024492300478437517,-0.32134571997969236,-0.36992736789758673,-0.531003304807473,0.34492520881383626,0.2960216885609989
2014,16740,-0.5895525309878371,-0.6812759996697532,-0.46669031982496045,-0.396404557369898,-0.42515413213585906,-0.43587746758148643,,,-0.38765068732201785,-0.36727268412527353,-0.45187495090577817,-0.5618097165652124,0.11503759906423726,-0.3109801453630396,-0.20743778156635354,-0.5951130858477895,0.34161526064099496,0.2569966580385801
2015,16965,-0.5363463158617974,-0.7080364848702093,-0.41171694346241106,-0.3780750150122206,-0.41034804890732884,-0.50630816404878,0.4792949287794571,0.7491413956887103,-0.3217994914332869,-0.31459357860757486,-0.39498773234115947,-0.5284655690996499,0.1125725545736879,-0.18260402816532972,-0.11865272424615961,-0.5766894727787484,0.2981783120851614,0.24135750643645515
2016,17549,-0.4385303483744,-0.6522298353064316,-0.313777087878458,-0.2992857876618406,-0.3478364160732865,-0.5168513511999661,0.4059557144488702,0.6793678780161296,-0.2310910655810751,-0.19703511129736356,-0.3362931228697818,-0.4241095847969263,0.15350776899987942,-0.04639549274586855,-0.005086053847981059,-0.48318518466435106,0.22313407399573582,0.18292585510574894
