origin_year,n,log_price_rel_metro,log_price_rel_metro_nyc,nbr_log_price_gap,nbr_log_price_gap_nyc,price_to_income,price_to_income_nyc,rent_yield,rent_yield_nyc,log_income,log_income_nyc,bachelors_share,bachelors_share_nyc,mom_1y,mom_1y_nyc,mom_5y,mom_5y_nyc,unemployment_rate,unemployment_rate_nyc,beta_10y,beta_10y_nyc,log_price_rel_county,log_price_rel_county_nyc,inventory_yoy,inventory_yoy_nyc,price_cut_share,price_cut_share_nyc
2000,11206,-0.1089658281507395,-0.2370427990356105,-0.0916830415563631,-0.1849247240954381,,,,,,,,,,,,,,,,,-0.0799750757767764,-0.1819275638675111,,,,
2001,11535,-0.1556169821441365,-0.4089515454929489,-0.1038836118513331,-0.3046978671388382,,,,,,,,,0.153623768854571,0.1711513130546543,,,,,,,-0.1206486991433564,-0.3221420583301166,,,,
2002,11965,-0.1901342493855432,-0.4641054494805431,-0.1244332811648868,-0.3751762640176697,,,,,,,,,0.1728946549960327,0.3479207460584247,,,,,,,-0.1470450206694853,-0.4043514155830545,,,,
2003,12256,-0.2229690848242803,-0.5026164680306674,-0.1422547077143419,-0.3428537478105032,,,,,,,,,0.1360775866807012,0.2156033087114083,,,,,,,-0.1671523236493425,-0.3791709623066571,,,,
2004,12571,-0.2220461230991068,-0.3742111939296386,-0.1508604729352375,-0.2173070894244635,,,,,,,,,0.0682495985493778,0.1120883068621102,,,,,,,-0.1605962941969149,-0.2414702424153467,,,,
2005,12854,-0.0708650619268743,-0.0841055332844235,-0.0621125062598041,-0.1042108932227667,,,,,,,,,-0.0008056719232638,0.4674369695103548,-0.153447142332194,0.0544869593853832,,,,,-0.0226953121431747,-0.0824979265183264,,,,
2006,13044,0.1469237923305812,0.3440304113087837,0.0770119533740212,0.1041285673602352,,,,,,,,,-0.0989482902483184,-0.01297735556414,-0.2209488643829495,-0.1376623143167872,,,-0.100253453376609,0.0650170865942041,0.1746406191774529,0.1899568728112831,,,,
2007,13257,0.2350837952195529,0.4216247682373344,0.1392630584891667,0.1477801768567564,,,,,,,,,-0.0364647443028822,-0.2781554908149869,-0.2343064687038469,-0.374497125579688,,,-0.0962487063740453,0.1921665217097597,0.2355218077977523,0.2994750607261894,,,,
2008,13562,0.3534011719347343,0.5291410055948002,0.2354432994315209,0.2471732918813976,,,,,,,,,0.2804396772102764,0.3349460606045985,-0.0371520116251441,-0.2752801508691362,,,-0.2429780297496883,-0.1771049572739829,0.3424960738036777,0.392884640662006,,,,
2009,14888,0.2590149481590278,0.496860144095397,0.1664083376809521,0.1981975881633493,,,,,,,,,0.2462511345200288,0.2643383154664507,0.1246131482989693,0.2969126032548587,,,-0.2202754628689619,-0.3410044364590269,0.2568588454530334,0.3329154560279051,,,,
