feature,importance_mean,importance_std,test_year,horizon
cs_mom_1y,0.0014652811925576,4.5079830739123576e-05,2023,3
cs_owner_share,0.0010342127600475,3.9927511839412114e-05,2023,3
cs_median_year_built,0.0006566106843848,1.3262625716302564e-05,2023,3
cs_rent_yield,0.0005440108107012,5.2283105117252726e-05,2023,3
cs_d5_log_income,0.0001273647050269,4.7987858595629794e-05,2023,3
cs_inflow_share,8.022323996692098e-05,3.556169935811763e-05,2023,3
cs_nbr_mom_5y_gap,5.244955915720273e-05,5.543211112016888e-06,2023,3
cs_d5_owner_share,4.582381645794794e-05,1.1635034705134343e-05,2023,3
cs_mom_3y,3.3599234142973423e-05,7.494697334695156e-05,2023,3
cs_d5_bachelors_share,3.235866883563587e-05,2.9116786720597888e-05,2023,3
cs_log_housing_units,2.3099285996137454e-05,1.9612781703414965e-05,2023,3
cs_d5_young_adult_share,1.937319041569556e-05,2.742411859348084e-05,2023,3
cs_d5_inflow_share,1.504995129855228e-05,6.918096024959671e-07,2023,3
cs_log_price_rel_metro,0.0,0.0,2023,3
cs_d5_log_housing_units,-2.688381605272146e-05,2.726627123418165e-05,2023,3
cs_young_adult_share,-2.9071013684494235e-05,9.127811766965451e-06,2023,3
cs_log_pop,-5.398660516550228e-05,7.1595466621991145e-06,2023,3
cs_mom_5y,-8.849717567623501e-05,6.203272804970167e-05,2023,3
cs_rent_mom_3y,-8.896422325002189e-05,7.4605053523366e-05,2023,3
cs_d5_log_pop,-0.0001185923146364,2.706741231828495e-05,2023,3
cs_log_income,-0.0002425942741595,2.976977159689462e-05,2023,3
cs_transit_share,-0.0002571115457335,3.712278697803147e-05,2023,3
cs_log_acs_rent,-0.0004243507569019,2.429554463669143e-05,2023,3
cs_median_age,-0.0004289761304552,3.724267696128795e-05,2023,3
cs_nbr_dist_km,-0.0004639857902114,9.25067899861021e-05,2023,3
cs_nbr_log_price_gap,-0.0005821960574258,6.093471993709822e-05,2023,3
cs_vacancy_share,-0.0009628608714594,0.0001134148538576,2023,3
cs_unemployment_rate,-0.0009961321467733,2.808389726195886e-05,2023,3
cs_price_to_income,-0.0011300471728904,0.0001474933533583,2023,3
cs_bachelors_share,-0.0014812027383615,5.604918086180348e-05,2023,3
cs_acs_rent_to_price,-0.004584454658084,1.2490116329767214e-05,2023,3
cs_log_zhvi,-0.0046593830103849,0.0001289830703296,2023,3
