rank,score,nyc_percentile,hist_relative_pct,pred_gbm,pred_ridge,zip,city,county,state,zhvi,mom_5y_rel,log_price_rel_metro,nbr_log_price_gap,rent_yield,price_to_income_rel,bachelors_share_rel,d5_log_income_rel,d5_log_housing_units_rel,origin
1,79.94756514875314,100.0,8.504422341018692,76.96031513925583,82.93481515825047,10462,New York,Bronx County,NY,254850.0,-0.1286883100916217,-1.0702010921268954,-0.8054872547264615,0.11976666425304999,-0.4592605594442756,-0.22652630857105588,-0.11498886986097823,-0.0021317065251921924,2026-07-31
2,77.91833374512984,99.87966305655837,8.504422341018692,81.80264520310959,74.03402228715011,18336,Matamoras,Pike County,PA,307553.0,0.05342293314948812,-0.8822280021085707,-0.1581793068487105,,-0.4277973364282339,-0.16882784276198043,-0.20669345449019438,0.0931205150490471,2026-07-31
3,77.57600362318155,99.75932611311673,8.504422341018692,84.24084181307812,70.91116543328499,18425,Greeley,Pike County,PA,301018.0,-0.018400402911575492,-0.9037052889609107,-0.08406902512287573,,-0.4462966329074043,-0.33945073230494793,0.03839562826302334,-0.46932088857369764,2026-07-31
4,76.52981627745903,99.63898916967509,8.504422341018692,77.94697649610175,75.11265605881631,18328,Dingmans Ferry,Pike County,PA,262697.0,0.035647439024885236,-1.0398765689999738,-0.24047701898863671,,-0.7794690722972153,-0.19251107784505378,0.08994696298200644,0.00241734648424545,2026-07-31
5,75.94967881301153,99.51865222623346,8.504422341018692,81.31860182849408,70.58075579752898,18428,Hawley,Pike County,PA,327562.0,0.02319304163594396,-0.8191988873422957,-0.016434967680403645,,-0.4357293724559963,-0.1860321018362936,0.04746932977303686,-0.07026252135910811,2026-07-31
6,74.71953313729588,99.39831528279181,5.820120695300801,80.28885485596787,69.1502114186239,18426,Greentown,Pike County,PA,288029.0,0.0005959204907263482,-0.9478163782440774,-0.14172415755486512,,-0.3731644027128429,-0.2876965708940217,0.038587709335319076,-0.18012464812642442,2026-07-31
7,74.64762533945745,99.27797833935018,5.820120695300801,76.84680321353112,72.44844746538378,18405,Beach Lake,Wayne County,PA,310993.0,0.05147578676522749,-0.8711046848458466,-0.02765721868095561,,-0.4330481007984137,-0.23304555726809917,-0.05930232211722952,-0.15039339515030087,2026-07-31
8,74.06073684869355,99.15764139590854,5.820120695300801,73.24564063810988,74.87583305927721,18337,Milford,Pike County,PA,356960.0,0.02423563077317184,-0.7332517462629227,0.10081453753769942,,-0.5461952434654223,-0.15608764629461885,-0.10402212184971837,0.08578347633637078,2026-07-31
9,72.90610310950973,99.03730445246691,5.820120695300801,80.54085928358093,65.27134693543854,07419,Hamburg,Sussex County,NJ,402973.0,0.0932637143507197,-0.6120054060881923,-0.10929784915552077,,-0.503023429391795,-0.13416943224570604,-0.10156353373547411,0.06297891402604731,2026-07-31
10,72.56739530301337,98.91696750902527,5.820120695300801,75.3834972361827,69.75129336984402,07439,Ogdensburg,Sussex County,NJ,437204.0,0.054769264163363834,-0.5304764786089731,-0.09479282619913931,,-0.4684138626268546,-0.14460730615618922,-0.06800555027592736,-0.012295854960552702,2026-07-31
11,72.22535879340236,98.79663056558363,5.820120695300801,76.86776148684035,67.58295609996436,07416,Franklin,Sussex County,NJ,380608.0,0.03983586709002687,-0.6691050167264425,-0.22063029881632445,,-0.4909620671626709,-0.2787154716548418,0.08886749048441267,0.02026522916842248,2026-07-31
12,71.41814163757527,98.676293622142,5.820120695300801,76.7931937827214,66.04308949242916,08731,Forked River,Ocean County,NJ,507252.0,0.1055957219045677,-0.3818677798755292,0.046399608149982896,,-0.2514996046234306,-0.15208866131929033,-0.058017021786110234,0.04801689256468249,2026-07-31
13,71.17664270419812,98.55595667870037,5.820120695300801,79.4753211792056,62.87796422919063,08733,Lakehurst,Ocean County,NJ,371578.0,0.07949624014195181,-0.6931184322960107,-0.3508946681167924,,-0.42329765392764007,-0.31897812996265984,-0.007838559514375731,0.1029739526639271,2026-07-31
14,70.89239316468581,98.43561973525873,5.820120695300801,79.39596708897767,62.38881924039394,08722,Beachwood,Ocean County,NJ,475088.0,0.13052657295139306,-0.4473759084852169,-0.12744255451748288,,-0.39761989434816347,-0.21593801107468036,0.06107939462777878,0.03344125037952876,2026-07-31
15,70.45053601846274,98.31528279181708,5.820120695300801,74.63800201602135,66.26307002090415,07461,Sussex,Sussex County,NJ,461077.0,0.03603219359151169,-0.47731170371606346,0.1271318180686194,,-0.42870608790265696,-0.17542526287079258,-0.051275261330671285,-0.01625271608814112,2026-07-31
16,70.15566487825565,98.19494584837545,5.820120695300801,74.71933474337321,65.59199501313809,08828,Helmetta,Middlesex County,NJ,434055.0,0.03203917031651607,-0.5377060122962245,-0.33585540959943216,,-0.4110840319545137,-0.08563385829861747,-0.16975279168701896,0.07049113034946623,2026-07-31
17,70.08018046697275,98.07460890493381,5.820120695300801,69.25696228054912,70.90339865339638,07827,Montague Township,Sussex County,NJ,324869.0,0.04410941034984042,-0.827454738904537,-0.20058311294759257,,-0.7257047965782608,-0.19989509172987424,0.06253379244840929,-0.1913260705243524,2026-07-31
18,70.05131373585527,97.95427196149218,5.820120695300801,78.67049374405215,61.4321337276584,07420,Wanaque,Passaic County,NJ,506841.0,0.09067021630560249,-0.382678951283296,-0.26963730652341766,,-0.3553171809133382,-0.14799895188343426,0.034323607103836196,-0.009478503038158961,2026-07-31
19,69.8349419682681,97.83393501805054,3.929678007565407,72.54546608021279,67.1244178563234,07462,Vernon,Sussex County,NJ,301279.0,0.13150706716472485,-0.9028400349230594,-0.3907049219024419,,-0.7453582811303445,-0.16359300048332326,-0.15530562426415884,0.03176841756340058,2026-07-31
20,69.68286019716155,97.71359807460891,3.929678007565407,74.37138469749351,64.99433569682958,11961,Ridge,Suffolk County,NY,521407.0,0.07940121426801064,-0.3543459710646655,-0.1923578783851312,,0.03333947894527678,-0.20161875307990496,-0.14958969419785895,-0.029765567342259394,2026-07-31
21,69.33623363120715,97.59326113116727,3.929678007565407,67.33206434165905,71.34040292075525,18324,Bushkill,Pike County,PA,267619.0,0.14079122625377352,-1.0213126997230173,-0.2789167485153392,,-0.509869647336813,-0.2392927817218698,-0.09819772726367582,-0.03670940998687451,2026-07-31
22,69.19649173704003,97.47292418772562,3.929678007565407,70.78074352848425,67.61223994559582,11950,Mastic,Suffolk County,NY,519683.0,0.09954113394966094,-0.3576577676771784,-0.2384044977847406,,-0.21790320145064723,-0.3259735047780573,-0.20648284916351045,-0.0029118379715542125,2026-07-31
23,68.8964312992431,97.352587244284,3.929678007565407,78.40796024541416,59.38490235307206,07874,Stanhope,Sussex County,NJ,454649.0,0.09583654568507996,-0.49135132623501043,-0.1602835493891135,,-0.6566771072468669,-0.06504003996868551,0.07986105127914733,0.009533377582622557,2026-07-31
24,68.69853839504674,97.23225030084237,3.929678007565407,73.0204965956356,64.37658019445787,07826,Branchville,Sussex County,NJ,465172.0,0.0006159845920134244,-0.46846822960420553,0.21443210240441246,,-0.5059434863004075,-0.1130393465413575,0.0833546612546403,-0.02038589884631721,2026-07-31
25,68.650813115423,97.11191335740072,3.929678007565407,65.08169121294455,72.21993501790145,18458,Shohola,Pike County,PA,311210.0,-0.0101905905538274,-0.8704082688077452,-0.04862098136597659,,-0.7200923988307573,-0.21508449565805815,0.08844920607284124,0.27512198100694657,2026-07-31
26,68.01276565507737,96.9915764139591,3.929678007565407,71.80147312248553,64.22405818766921,07865,Port Murray,Hunterdon County,NJ,517663.0,-0.00021849072517063362,-0.3615521289219057,-0.01694510580832187,,-0.32294487576594944,-0.027600222736892055,-0.3627514149530633,0.18383861812711394,2026-07-31
27,67.95787586902176,96.87123947051745,3.929678007565407,73.21918447874654,62.69656725929698,08887,Branchburg Township,Hunterdon County,NJ,350495.0,0.25516850915594735,-0.7515296752666671,-0.7238987710558202,,-0.7246710817831457,-0.0922490142439591,-0.11856666888855116,0.0666609331602122,2026-07-31
28,67.53256270788532,96.75090252707581,3.929678007565407,69.4624284257487,65.60269699002193,08005,Barnegat,Ocean County,NJ,508616.0,0.10305684455325129,-0.37918356179810964,-0.2789251983279115,,-0.19678612608435953,-0.15298827726295328,0.004770960204050212,0.07221856477306181,2026-07-31
29,67.478464214885,96.63056558363418,3.929678007565407,68.56973876499578,66.38718966477421,18445,Newfoundland,Pike County,PA,291421.0,0.008198668781704305,-0.936108154831798,-0.08265270409483527,,-0.19320496013479915,-0.2635837472450067,-0.32612369659557494,-0.09005285983248941,2026-07-31
30,66.91899562460095,96.51022864019254,3.929678007565407,70.52338202550894,63.314609223692976,07422,Highland Lake,Sussex County,NJ,411809.0,0.07426643893410692,-0.5903154295415121,-0.07622682050765661,,-0.5578527306801011,-0.04894844957644834,-0.14756223372381072,-0.16222081033964092,2026-07-31
31,66.84300904159939,96.38989169675091,3.929678007565407,67.53521325949043,66.15080482370834,07860,Newton,Sussex County,NJ,450730.0,0.02391996038731073,-0.5000071994426296,-0.07698028299088477,0.05287419958474015,-0.4796397080748449,-0.10236486985718557,-0.005586105375664729,-0.011740828266381079,2026-07-31
32,66.72627614116442,96.26955475330927,3.929678007565407,70.11994610184738,63.33260618048146,07843,Hopatcong,Sussex County,NJ,455778.0,0.12519524486712044,-0.4888693809542364,-0.11827477356213656,,-0.45575342706552324,-0.15611096776291372,-0.007181737970391566,-0.11012618611473153,2026-07-31
33,66.05716097043359,96.14921780986762,3.929678007565407,65.99919592244284,66.11512601842433,10931,Hillburn,Rockland County,NY,517857.0,0.011952727491559761,-0.361176101766862,-0.583973866759365,,-0.06314779436486373,-0.23438187876477923,-0.05422183993618823,0.17113145567340854,2026-07-31
